250,250,252,250,249,253,253,255,253,250,254;
255,252,252,254,253,251,248,246,244,241,245;
255,248,250,250,251,250,253,252,248,242,249;
252,246,239,246,248,248,249,246,248,249,255;
244,238,238,247,249,251,255,247,240,242,251;
239,236,243,244,251,254,255,251,248,249,253;
248,244,242,246,244,254,255,254,253,248,254;
255,249,252,248,248,250,248,247,249,248,252;
243,239,245,246,247,246,253,252,251,249,255;
251,243,244,248,248,245,249,255,252,250,251;
243,238,240,245,248,248,255,250,244,241,248;
249,241,245,253,250,252,255,251,244,242,249;
255,251,251,246,246,251,248,247,243,247,253;
248,244,248,248,251,254,255,248,250,247,255;
251,243,237,242,245,252,255,253,252,248,252;
253,245,245,244,243,250,250,255,249,249,254;
230,228,233,241,246,249,255,253,244,240,240;
254,246,253,247,246,255,247,235,233,236,246;
243,235,235,235,242,252,250,246,243,246,255;
248,243,244,241,248,255,248,246,248,248,250;
250,248,254,252,253,252,255,249,245,249,253;
247,243,246,246,250,251,255,252,250,248,252;
241,239,240,243,244,250,255,246,244,245,252;
253,249,249,246,252,253,253,253,254,250,255;
250,241,246,243,243,242,242,238,241,243,255;
241,241,243,243,251,254,254,255,248,241,246;
251,242,244,249,240,247,253,253,252,248,255;
236,230,232,239,244,252,255,254,250,248,248;
251,248,253,251,250,251,255,246,243,241,247;
237,233,235,244,250,255,253,245,246,238,241;
245,243,247,247,249,255,251,244,245,244,251;
255,245,243,248,250,251,246,249,245,244,247;
246,240,242,244,245,255,254,249,249,246,254;
251,242,249,255,247,252,250,248,243,242,249;
247,240,241,246,248,255,251,252,252,247,250;
255,247,248,249,247,252,247,248,245,244,251;
247,243,245,249,249,251,251,253,253,251,255;
249,243,246,245,247,252,255,250,252,248,252;
243,234,231,235,238,247,249,249,242,245,255;
244,245,247,249,248,252,255,251,253,252,252;
246,239,237,238,244,254,252,252,255,251,253;
246,244,242,244,250,255,252,249,249,246,251;
244,245,246,243,251,255,251,250,251,252,254;
250,245,250,254,255,252,250,247,246,246,248;
240,233,230,230,232,236,242,245,249,248,255;
255,244,245,242,245,249,244,243,241,238,245;
255,247,254,245,244,246,247,245,248,247,251;
252,246,243,241,252,254,255,251,250,246,251;
249,244,246,249,252,255,248,247,246,241,244;
242,237,240,243,248,254,254,255,249,248,252;
245,241,246,250,255,255,252,249,247,246,253;
241,234,236,239,245,255,248,247,241,243,247;
247,244,245,239,244,248,247,246,253,249,255;
249,238,244,242,253,253,250,247,250,247,255;
245,240,243,239,244,247,247,251,255,244,250;
251,243,246,241,250,251,253,255,248,246,247;
249,242,245,243,254,254,252,252,249,246,255;
246,239,239,243,245,248,251,253,249,250,255;
243,235,240,241,244,246,244,245,247,252,255;
250,242,241,246,250,245,253,255,252,247,250;
254,250,250,250,253,254,255,244,241,237,242;
248,244,250,247,250,252,255,246,244,242,245;
255,247,249,245,241,251,249,245,245,243,249;
247,243,245,241,244,249,246,253,252,253,255;
255,248,251,253,254,253,250,249,249,251,252;
224,138,154,182,230,255,236,199,182,178,250;
251,243,248,253,247,255,248,249,244,247,254;
255,247,249,251,251,250,249,245,242,245,251;
239,236,238,247,248,255,252,249,247,246,248;
252,247,251,251,250,255,251,250,246,246,253;
247,239,238,248,251,255,251,248,245,247,253;
241,238,240,245,249,255,251,254,249,248,252;
248,244,241,239,248,255,254,253,254,252,253;
252,245,248,249,251,253,250,250,248,249,255;
